"Time","Temperature_C"
16/02/2021 06:,17.66
16/02/2021 07:,17.66
16/02/2021 08:,17.66
16/02/2021 09:,17.78
16/02/2021 10:,17.91
16/02/2021 11:,18.03
16/02/2021 12:,18.15
16/02/2021 13:,18.39
16/02/2021 14:,18.52
16/02/2021 15:,18.65
16/02/2021 16:,18.76
16/02/2021 17:,18.77
16/02/2021 18:,18.78
16/02/2021 19:,18.79
16/02/2021 20:,18.76
16/02/2021 21:,18.76
16/02/2021 22:,18.77
16/02/2021 23:,18.77
17/02/2021 00:,18.77
17/02/2021 01:,18.77
17/02/2021 02:,18.77
17/02/2021 03:,18.77
17/02/2021 04:,18.77
17/02/2021 05:,18.77
17/02/2021 06:,18.77
17/02/2021 07:,18.77
17/02/2021 08:,18.77
17/02/2021 09:,18.82
17/02/2021 10:,18.89
17/02/2021 11:,19.1
17/02/2021 12:,19.25
17/02/2021 13:,19.5
17/02/2021 14:,19.67
17/02/2021 15:,19.87
17/02/2021 16:,19.99
17/02/2021 17:,19.99
17/02/2021 18:,19.87
17/02/2021 19:,19.86
17/02/2021 20:,19.74
17/02/2021 21:,19.74
17/02/2021 22:,19.63
17/02/2021 23:,19.62
18/02/2021 00:,19.62
18/02/2021 01:,19.51
18/02/2021 02:,19.51
18/02/2021 03:,19.5
18/02/2021 04:,19.38
18/02/2021 05:,19.37
18/02/2021 06:,19.26
18/02/2021 07:,19.14
18/02/2021 08:,19.13
18/02/2021 09:,19.14
18/02/2021 10:,19.25
18/02/2021 11:,19.5
18/02/2021 12:,19.88
18/02/2021 13:,20.11
18/02/2021 14:,20.23
18/02/2021 15:,20.35
18/02/2021 16:,20.35
18/02/2021 17:,20.3
18/02/2021 18:,20.22
18/02/2021 19:,20.01
18/02/2021 20:,19.87
18/02/2021 21:,19.75
18/02/2021 22:,19.62
18/02/2021 23:,19.5
19/02/2021 00:,19.45
19/02/2021 01:,19.38
19/02/2021 02:,19.26
19/02/2021 03:,19.24
19/02/2021 04:,19.13
19/02/2021 05:,19.13
19/02/2021 06:,19.11
19/02/2021 07:,19.02
19/02/2021 08:,19.02
19/02/2021 09:,19.02
19/02/2021 10:,19.12
19/02/2021 11:,19.14
19/02/2021 12:,19.37
19/02/2021 13:,19.49
19/02/2021 14:,19.63
19/02/2021 15:,19.73
19/02/2021 16:,19.74
19/02/2021 17:,19.74
19/02/2021 18:,19.71
19/02/2021 19:,19.62
19/02/2021 20:,19.62
19/02/2021 21:,19.62
19/02/2021 22:,19.5
19/02/2021 23:,19.5
20/02/2021 00:,19.5
20/02/2021 01:,19.38
20/02/2021 02:,19.38
20/02/2021 03:,19.38
20/02/2021 04:,19.38
20/02/2021 05:,19.34
20/02/2021 06:,19.26
20/02/2021 07:,19.26
20/02/2021 08:,19.26
20/02/2021 09:,19.27
20/02/2021 10:,19.38
20/02/2021 11:,19.5
20/02/2021 12:,19.63
20/02/2021 13:,19.86
20/02/2021 14:,20.07
20/02/2021 15:,20.23
20/02/2021 16:,20.34
20/02/2021 17:,20.23
20/02/2021 18:,20.11
20/02/2021 19:,19.99
20/02/2021 20:,19.87
20/02/2021 21:,19.74
20/02/2021 22:,19.62
20/02/2021 23:,19.5
21/02/2021 00:,19.38
21/02/2021 01:,19.37
21/02/2021 02:,19.25
21/02/2021 03:,19.14
21/02/2021 04:,19.09
21/02/2021 05:,19.01
21/02/2021 06:,18.94
21/02/2021 07:,18.89
21/02/2021 08:,18.89
21/02/2021 09:,18.89
21/02/2021 10:,19.13
21/02/2021 11:,19.38
21/02/2021 12:,19.66
21/02/2021 13:,19.96
21/02/2021 14:,20.12
21/02/2021 15:,20.34
21/02/2021 16:,20.35
21/02/2021 17:,20.24
21/02/2021 18:,20.11
21/02/2021 19:,19.99
21/02/2021 20:,19.96
21/02/2021 21:,19.86
21/02/2021 22:,19.74
21/02/2021 23:,19.62
22/02/2021 00:,19.52
22/02/2021 01:,19.5
22/02/2021 02:,19.49
22/02/2021 03:,19.38
22/02/2021 04:,19.36
22/02/2021 05:,19.26
22/02/2021 06:,19.2
22/02/2021 07:,19.13
22/02/2021 08:,19.13
22/02/2021 09:,19.25
22/02/2021 10:,19.31
22/02/2021 11:,19.51
22/02/2021 12:,19.74
22/02/2021 13:,19.99
22/02/2021 14:,20.23
22/02/2021 15:,20.35
22/02/2021 16:,20.36
22/02/2021 17:,20.35
22/02/2021 18:,20.25
22/02/2021 19:,20.19
22/02/2021 20:,20.11
22/02/2021 21:,19.99
22/02/2021 22:,19.87
22/02/2021 23:,19.75
23/02/2021 00:,19.69
23/02/2021 01:,19.62
23/02/2021 02:,19.5
23/02/2021 03:,19.39
23/02/2021 04:,19.38
23/02/2021 05:,19.26
23/02/2021 06:,19.23
23/02/2021 07:,19.13
23/02/2021 08:,19.14
23/02/2021 09:,19.14
23/02/2021 10:,19.37
23/02/2021 11:,19.62
23/02/2021 12:,19.86
23/02/2021 13:,20.11
23/02/2021 14:,20.35
23/02/2021 15:,20.45
23/02/2021 16:,20.47
23/02/2021 17:,20.36
23/02/2021 18:,20.25
23/02/2021 19:,20.23
23/02/2021 20:,20.11
23/02/2021 21:,19.99
23/02/2021 22:,19.99
23/02/2021 23:,19.87
24/02/2021 00:,19.77
24/02/2021 01:,19.74
24/02/2021 02:,19.63
24/02/2021 03:,19.5
24/02/2021 04:,19.48
24/02/2021 05:,19.38
24/02/2021 06:,19.26
24/02/2021 07:,19.16
24/02/2021 08:,19.13
24/02/2021 09:,19.14
24/02/2021 10:,19.26
24/02/2021 11:,19.53
24/02/2021 12:,19.86
24/02/2021 13:,20.1
24/02/2021 14:,20.35
24/02/2021 15:,20.48
24/02/2021 16:,20.59
24/02/2021 17:,20.51
24/02/2021 18:,20.47
24/02/2021 19:,20.35
24/02/2021 20:,20.23
24/02/2021 21:,20.1
24/02/2021 22:,19.99
24/02/2021 23:,19.87
25/02/2021 00:,19.77
25/02/2021 01:,19.68
25/02/2021 02:,19.62
25/02/2021 03:,19.5
25/02/2021 04:,19.38
25/02/2021 05:,19.32
25/02/2021 06:,19.25
25/02/2021 07:,19.14
25/02/2021 08:,19.13
25/02/2021 09:,19.25
25/02/2021 10:,19.38
25/02/2021 11:,19.62
25/02/2021 12:,19.75
25/02/2021 13:,20.1
25/02/2021 14:,20.35
25/02/2021 15:,20.425
25/02/2021 16:,20.5
25/02/2021 17:,20.48
25/02/2021 18:,20.36
25/02/2021 19:,20.24
25/02/2021 20:,20.11
25/02/2021 21:,19.99
25/02/2021 22:,19.89
25/02/2021 23:,19.86
26/02/2021 00:,19.74
26/02/2021 01:,19.63
26/02/2021 02:,19.62
26/02/2021 03:,19.5
26/02/2021 04:,19.5
26/02/2021 05:,19.38
26/02/2021 06:,19.38
26/02/2021 07:,19.38
26/02/2021 08:,19.38
26/02/2021 09:,19.38
26/02/2021 10:,19.605
26/02/2021 11:,19.83
26/02/2021 12:,19.26
26/02/2021 13:,19.74
26/02/2021 14:,19.99
26/02/2021 15:,20.35
26/02/2021 16:,20.72
26/02/2021 17:,20.63
26/02/2021 18:,20.48
26/02/2021 19:,20.38
26/02/2021 20:,20.26
26/02/2021 21:,20.19
26/02/2021 22:,20.11
26/02/2021 23:,19.99
27/02/2021 00:,19.91
27/02/2021 01:,19.87
27/02/2021 02:,19.86
27/02/2021 03:,19.8
27/02/2021 04:,19.74
27/02/2021 05:,19.74
27/02/2021 06:,19.62
27/02/2021 07:,19.62
27/02/2021 08:,19.62
27/02/2021 09:,19.62
27/02/2021 10:,19.63
27/02/2021 11:,19.86
27/02/2021 12:,19.99
27/02/2021 13:,20.24
27/02/2021 14:,20.47
27/02/2021 15:,20.6
27/02/2021 16:,20.6
27/02/2021 17:,20.55
27/02/2021 18:,20.38
27/02/2021 19:,20.23
27/02/2021 20:,20.11
27/02/2021 21:,19.99
27/02/2021 22:,19.87
27/02/2021 23:,19.74
28/02/2021 00:,19.62
28/02/2021 01:,19.58
28/02/2021 02:,19.5
28/02/2021 03:,19.38
28/02/2021 04:,19.27
28/02/2021 05:,19.25
28/02/2021 06:,19.14
28/02/2021 07:,19.03
28/02/2021 08:,19.02
28/02/2021 09:,19.13
28/02/2021 10:,19.26
28/02/2021 11:,19.55
28/02/2021 12:,19.87
28/02/2021 13:,20.11
28/02/2021 14:,20.35
28/02/2021 15:,20.48
28/02/2021 16:,20.57
28/02/2021 17:,20.47
28/02/2021 18:,20.35
28/02/2021 19:,20.21
28/02/2021 20:,19.99
28/02/2021 21:,19.87
28/02/2021 22:,19.75
28/02/2021 23:,19.62
01/03/2021 00:,19.5
01/03/2021 01:,19.38
01/03/2021 02:,19.25
01/03/2021 03:,19.13
01/03/2021 04:,19.01
01/03/2021 05:,18.89
01/03/2021 06:,18.77
01/03/2021 07:,18.66
01/03/2021 08:,18.64
01/03/2021 09:,18.77
01/03/2021 10:,18.9
01/03/2021 11:,19.25
01/03/2021 12:,19.62
01/03/2021 13:,19.87
01/03/2021 14:,20.11
01/03/2021 15:,20.35
01/03/2021 16:,20.35
01/03/2021 17:,20.35
01/03/2021 18:,20.11
01/03/2021 19:,19.99
01/03/2021 20:,19.86
01/03/2021 21:,19.74
01/03/2021 22:,19.61
01/03/2021 23:,19.38
02/03/2021 00:,19.26
02/03/2021 01:,19.14
02/03/2021 02:,19.04
02/03/2021 03:,18.96
02/03/2021 04:,18.89
02/03/2021 05:,18.77
02/03/2021 06:,18.71
02/03/2021 07:,18.64
02/03/2021 08:,18.64
02/03/2021 09:,18.76
02/03/2021 10:,19.01
02/03/2021 11:,19.27
02/03/2021 12:,19.62
02/03/2021 13:,19.87
02/03/2021 14:,20.11
02/03/2021 15:,20.35
02/03/2021 16:,20.36
02/03/2021 17:,20.39
02/03/2021 18:,20.35
02/03/2021 19:,20.35
02/03/2021 20:,20.23
02/03/2021 21:,20.23
02/03/2021 22:,20.11
02/03/2021 23:,20.11
03/03/2021 00:,19.99
03/03/2021 01:,19.98
03/03/2021 02:,19.87
03/03/2021 03:,19.86
03/03/2021 04:,19.81
03/03/2021 05:,19.74
03/03/2021 06:,19.74
03/03/2021 07:,19.69
03/03/2021 08:,19.73
03/03/2021 09:,19.87
03/03/2021 10:,20.11
03/03/2021 11:,20.47
03/03/2021 12:,20.75
03/03/2021 13:,21
03/03/2021 14:,21.21
03/03/2021 15:,21.32
03/03/2021 16:,21.33
03/03/2021 17:,21.31
03/03/2021 18:,21.09
03/03/2021 19:,20.96
03/03/2021 20:,20.84
03/03/2021 21:,20.72
03/03/2021 22:,20.6
03/03/2021 23:,20.49
04/03/2021 00:,20.42
04/03/2021 01:,20.35
04/03/2021 02:,20.24
04/03/2021 03:,20.23
04/03/2021 04:,20.11
04/03/2021 05:,20.11
04/03/2021 06:,19.99
04/03/2021 07:,19.99
04/03/2021 08:,19.99
04/03/2021 09:,20.11
04/03/2021 10:,20.35
04/03/2021 11:,20.71
04/03/2021 12:,20.99
04/03/2021 13:,21.21
04/03/2021 14:,21.44
04/03/2021 15:,21.45
04/03/2021 16:,21.45
04/03/2021 17:,21.32
04/03/2021 18:,21.2
04/03/2021 19:,21.08
04/03/2021 20:,20.96
04/03/2021 21:,20.84
04/03/2021 22:,20.84
04/03/2021 23:,20.72
05/03/2021 00:,20.62
05/03/2021 01:,20.59
05/03/2021 02:,20.47
05/03/2021 03:,20.42
05/03/2021 04:,20.35
05/03/2021 05:,20.34
05/03/2021 06:,20.23
05/03/2021 07:,20.24
05/03/2021 08:,20.23
05/03/2021 09:,20.24
05/03/2021 10:,20.36
05/03/2021 11:,20.59
05/03/2021 12:,20.71
05/03/2021 13:,20.84
05/03/2021 14:,20.96
05/03/2021 15:,21.04
05/03/2021 16:,20.98
05/03/2021 17:,20.96
05/03/2021 18:,20.96
05/03/2021 19:,20.84
05/03/2021 20:,20.84
05/03/2021 21:,20.73
05/03/2021 22:,20.72
05/03/2021 23:,20.72
06/03/2021 00:,20.71
06/03/2021 01:,20.6
06/03/2021 02:,20.59
06/03/2021 03:,20.48
06/03/2021 04:,20.47
06/03/2021 05:,20.47
06/03/2021 06:,20.43
06/03/2021 07:,20.37
06/03/2021 08:,20.41
06/03/2021 09:,20.49
06/03/2021 10:,20.72
06/03/2021 11:,20.89
06/03/2021 12:,21.2
06/03/2021 13:,21.48
06/03/2021 14:,21.68
06/03/2021 15:,21.69
06/03/2021 16:,21.8
06/03/2021 17:,21.68
06/03/2021 18:,21.56
06/03/2021 19:,21.37
06/03/2021 20:,21.2
06/03/2021 21:,21
06/03/2021 22:,20.84
06/03/2021 23:,20.73
07/03/2021 00:,20.72
07/03/2021 01:,20.59
07/03/2021 02:,20.47
07/03/2021 03:,20.35
07/03/2021 04:,20.35
07/03/2021 05:,20.32
07/03/2021 06:,20.23
07/03/2021 07:,20.23
07/03/2021 08:,20.23
07/03/2021 09:,20.34
07/03/2021 10:,20.35
07/03/2021 11:,20.6
07/03/2021 12:,20.72
07/03/2021 13:,20.72
07/03/2021 14:,20.96
07/03/2021 15:,20.98
07/03/2021 16:,21.08
07/03/2021 17:,20.96
07/03/2021 18:,20.95
07/03/2021 19:,20.84
07/03/2021 20:,20.72
07/03/2021 21:,20.7
07/03/2021 22:,20.6
07/03/2021 23:,20.58
08/03/2021 00:,20.48
08/03/2021 01:,20.47
08/03/2021 02:,20.47
08/03/2021 03:,20.47
08/03/2021 04:,20.47
08/03/2021 05:,20.38
08/03/2021 06:,20.36
08/03/2021 07:,20.36
08/03/2021 08:,20.36
08/03/2021 09:,20.37
08/03/2021 10:,20.4
08/03/2021 11:,20.47
08/03/2021 12:,20.52
08/03/2021 13:,20.59
08/03/2021 14:,20.67
08/03/2021 15:,20.71
08/03/2021 16:,20.69
08/03/2021 17:,20.6
08/03/2021 18:,20.59
08/03/2021 19:,20.59
08/03/2021 20:,20.48
08/03/2021 21:,20.48
08/03/2021 22:,20.47
08/03/2021 23:,20.47
09/03/2021 00:,20.39
09/03/2021 01:,20.35
09/03/2021 02:,20.35
09/03/2021 03:,20.35
09/03/2021 04:,20.24
09/03/2021 05:,20.23
09/03/2021 06:,20.23
09/03/2021 07:,20.23
09/03/2021 08:,20.22
09/03/2021 09:,20.23
09/03/2021 10:,20.39
09/03/2021 11:,20.72
09/03/2021 12:,20.84
09/03/2021 13:,20.84
09/03/2021 14:,20.84
09/03/2021 15:,20.85
09/03/2021 16:,20.84
09/03/2021 17:,20.84
09/03/2021 18:,20.83
09/03/2021 19:,20.72
09/03/2021 20:,20.59
09/03/2021 21:,20.47
09/03/2021 22:,20.35
09/03/2021 23:,20.35
10/03/2021 00:,20.23
10/03/2021 01:,20.11
10/03/2021 02:,20.04
10/03/2021 03:,19.99
10/03/2021 04:,19.98
10/03/2021 05:,19.89
10/03/2021 06:,19.87
10/03/2021 07:,19.87
10/03/2021 08:,19.87
10/03/2021 09:,19.99
10/03/2021 10:,20.23
10/03/2021 11:,20.48
10/03/2021 12:,20.79
10/03/2021 13:,20.96
10/03/2021 14:,21.2
10/03/2021 15:,21.2
10/03/2021 16:,21.2
10/03/2021 17:,21.08
10/03/2021 18:,20.95
10/03/2021 19:,20.84
10/03/2021 20:,20.71
10/03/2021 21:,20.59
10/03/2021 22:,20.47
10/03/2021 23:,20.35
11/03/2021 00:,20.23
11/03/2021 01:,20.11
11/03/2021 02:,20.02
11/03/2021 03:,19.99
11/03/2021 04:,19.87
11/03/2021 05:,19.86
11/03/2021 06:,19.86
11/03/2021 07:,19.82
11/03/2021 08:,19.86
11/03/2021 09:,19.99
11/03/2021 10:,20.23
11/03/2021 11:,20.48
11/03/2021 12:,20.83
11/03/2021 13:,21.08
11/03/2021 14:,21.21
11/03/2021 15:,21.32
11/03/2021 16:,21.32
11/03/2021 17:,21.2
11/03/2021 18:,21.09
11/03/2021 19:,21.06
11/03/2021 20:,20.96
11/03/2021 21:,20.84
11/03/2021 22:,20.72
11/03/2021 23:,20.71
12/03/2021 00:,20.59
12/03/2021 01:,20.59
12/03/2021 02:,20.49
12/03/2021 03:,20.48
12/03/2021 04:,20.48
12/03/2021 05:,20.47
12/03/2021 06:,20.47
12/03/2021 07:,20.47
12/03/2021 08:,20.48
12/03/2021 09:,20.59
12/03/2021 10:,20.59
12/03/2021 11:,20.6
12/03/2021 12:,20.68
12/03/2021 13:,20.72
12/03/2021 14:,20.74
12/03/2021 15:,20.81
12/03/2021 16:,20.83
12/03/2021 17:,20.74
12/03/2021 18:,20.73
12/03/2021 19:,20.71
12/03/2021 20:,20.71
12/03/2021 21:,20.69
12/03/2021 22:,20.6
12/03/2021 23:,20.6
13/03/2021 00:,20.6
13/03/2021 01:,20.59
13/03/2021 02:,20.47
13/03/2021 03:,20.44
13/03/2021 04:,20.35
13/03/2021 05:,20.29
13/03/2021 06:,20.24
13/03/2021 07:,20.13
13/03/2021 08:,20.23
13/03/2021 09:,20.35
13/03/2021 10:,20.6
13/03/2021 11:,20.96
13/03/2021 12:,21.2
13/03/2021 13:,21.55
13/03/2021 14:,21.69
13/03/2021 15:,21.8
13/03/2021 16:,21.81
13/03/2021 17:,21.69
13/03/2021 18:,21.56
13/03/2021 19:,21.32
13/03/2021 20:,21.2
13/03/2021 21:,20.97
13/03/2021 22:,20.84
13/03/2021 23:,20.72
14/03/2021 00:,20.69
14/03/2021 01:,20.59
14/03/2021 02:,20.47
14/03/2021 03:,20.47
14/03/2021 04:,20.38
14/03/2021 05:,20.35
14/03/2021 06:,20.35
14/03/2021 07:,20.33
14/03/2021 08:,20.35
14/03/2021 09:,20.37
14/03/2021 10:,20.48
14/03/2021 11:,20.72
14/03/2021 12:,20.96
14/03/2021 13:,20.84
14/03/2021 14:,20.79
